Time(s),CH1(V)
-5.4941E-05,6.503942E-02
-5.4941E-05,4.041518E-02
-5.4941E-05,2.399901E-02
-5.4941E-05,1.168690E-02
-5.4941E-05,-4.729265E-03
-5.4941E-05,-2.524947E-02
-5.4941E-05,-3.756158E-02
-5.4941E-05,-4.576967E-02
-5.4941E-05,-6.218583E-02
-5.4941E-05,-7.449795E-02
-5.4940E-05,-9.091411E-02
-5.4940E-05,-1.032262E-01
-5.4940E-05,-1.196424E-01
-5.4940E-05,-1.360586E-01
-5.4940E-05,-1.483707E-01
-5.4940E-05,-1.565787E-01
-5.4940E-05,-1.524747E-01
-5.4940E-05,-1.565787E-01
-5.4940E-05,-1.647868E-01
-5.4940E-05,-1.688909E-01
-5.4939E-05,-1.647868E-01
-5.4939E-05,-1.647868E-01
-5.4939E-05,-1.647868E-01
-5.4939E-05,-1.647868E-01
-5.4939E-05,-1.688909E-01
-5.4939E-05,-1.688909E-01
-5.4939E-05,-1.688909E-01
-5.4939E-05,-1.606828E-01
-5.4939E-05,-1.565787E-01
-5.4939E-05,-1.565787E-01
-5.4938E-05,-1.606828E-01
-5.4938E-05,-1.565787E-01
-5.4938E-05,-1.565787E-01
-5.4938E-05,-1.606828E-01
-5.4938E-05,-1.565787E-01
-5.4938E-05,-1.524747E-01
-5.4938E-05,-1.524747E-01
-5.4938E-05,-1.524747E-01
-5.4938E-05,-1.606828E-01
-5.4938E-05,-1.647868E-01
-5.4937E-05,-1.688909E-01
-5.4937E-05,-1.770989E-01
-5.4937E-05,-1.894111E-01
-5.4937E-05,-1.894111E-01
-5.4937E-05,-1.853070E-01
-5.4937E-05,-1.894111E-01
-5.4937E-05,-1.935151E-01
-5.4937E-05,-1.894111E-01
-5.4937E-05,-1.935151E-01
-5.4937E-05,-2.017232E-01
-5.4936E-05,-2.017232E-01
-5.4936E-05,-1.976192E-01
-5.4936E-05,-1.935151E-01
-5.4936E-05,-1.935151E-01
-5.4936E-05,-2.017232E-01
-5.4936E-05,-2.058272E-01
-5.4936E-05,-2.017232E-01
-5.4936E-05,-2.017232E-01
-5.4936E-05,-1.976192E-01
-5.4936E-05,-1.853070E-01
-5.4935E-05,-1.729949E-01
-5.4935E-05,-1.606828E-01
-5.4935E-05,-1.524747E-01
-5.4935E-05,-1.442666E-01
-5.4935E-05,-1.319545E-01
-5.4935E-05,-1.196424E-01
-5.4935E-05,-1.032262E-01
-5.4935E-05,-9.091411E-02
-5.4935E-05,-7.449795E-02
-5.4935E-05,-5.397775E-02
-5.4934E-05,-3.345755E-02
-5.4934E-05,-1.704139E-02
-5.4934E-05,1.168690E-02
-5.4934E-05,3.220709E-02
-5.4934E-05,4.862326E-02
-5.4934E-05,6.914346E-02
-5.4934E-05,8.555961E-02
-5.4934E-05,9.787174E-02
-5.4934E-05,1.060798E-01
-5.4934E-05,1.266000E-01
-5.4933E-05,1.512243E-01
-5.4933E-05,1.635364E-01
-5.4933E-05,1.717445E-01
-5.4933E-05,1.840566E-01
-5.4933E-05,1.963687E-01
-5.4933E-05,2.045768E-01
-5.4933E-05,2.086808E-01
-5.4933E-05,2.127849E-01
-5.4933E-05,2.209929E-01
-5.4933E-05,2.292010E-01
-5.4932E-05,2.292010E-01
-5.4932E-05,2.292010E-01
-5.4932E-05,2.415131E-01
-5.4932E-05,2.456172E-01
-5.4932E-05,2.374091E-01
-5.4932E-05,2.374091E-01
-5.4932E-05,2.374091E-01
-5.4932E-05,2.333051E-01
-5.4932E-05,2.292010E-01
-5.4932E-05,2.250970E-01
-5.4931E-05,2.250970E-01
-5.4931E-05,2.292010E-01
-5.4931E-05,2.250970E-01
-5.4931E-05,2.250970E-01
-5.4931E-05,2.292010E-01
-5.4931E-05,2.292010E-01
-5.4931E-05,2.209929E-01
-5.4931E-05,2.168889E-01
-5.4931E-05,2.168889E-01
-5.4931E-05,2.127849E-01
-5.4930E-05,2.086808E-01
-5.4930E-05,2.086808E-01
-5.4930E-05,2.045768E-01
-5.4930E-05,1.963687E-01
-5.4930E-05,1.922647E-01
-5.4930E-05,1.922647E-01
-5.4930E-05,1.881606E-01
-5.4930E-05,1.758485E-01
-5.4930E-05,1.594323E-01
-5.4930E-05,1.553283E-01
-5.4929E-05,1.512243E-01
-5.4929E-05,1.389121E-01
-5.4929E-05,1.224960E-01
-5.4929E-05,1.060798E-01
-5.4929E-05,9.376770E-02
-5.4929E-05,7.735154E-02
-5.4929E-05,5.683134E-02
-5.4929E-05,3.631113E-02
-5.4929E-05,1.989498E-02
-5.4929E-05,7.582855E-03
-5.4928E-05,-1.293735E-02
-5.4928E-05,-2.935351E-02
-5.4928E-05,-3.756158E-02
-5.4928E-05,-5.808179E-02
-5.4928E-05,-7.449795E-02
-5.4928E-05,-9.091411E-02
-5.4928E-05,-1.032262E-01
-5.4928E-05,-1.155384E-01
-5.4928E-05,-1.278505E-01
-5.4928E-05,-1.360586E-01
-5.4927E-05,-1.442666E-01
-5.4927E-05,-1.483707E-01
-5.4927E-05,-1.606828E-01
-5.4927E-05,-1.647868E-01
-5.4927E-05,-1.647868E-01
-5.4927E-05,-1.647868E-01
-5.4927E-05,-1.688909E-01
-5.4927E-05,-1.688909E-01
-5.4927E-05,-1.647868E-01
-5.4927E-05,-1.606828E-01
-5.4926E-05,-1.647868E-01
-5.4926E-05,-1.688909E-01
-5.4926E-05,-1.647868E-01
-5.4926E-05,-1.647868E-01
-5.4926E-05,-1.647868E-01
-5.4926E-05,-1.606828E-01
-5.4926E-05,-1.565787E-01
-5.4926E-05,-1.565787E-01
-5.4926E-05,-1.565787E-01
-5.4926E-05,-1.565787E-01
-5.4925E-05,-1.524747E-01
-5.4925E-05,-1.483707E-01
-5.4925E-05,-1.483707E-01
-5.4925E-05,-1.606828E-01
-5.4925E-05,-1.688909E-01
-5.4925E-05,-1.647868E-01
-5.4925E-05,-1.688909E-01
-5.4925E-05,-1.688909E-01
-5.4925E-05,-1.729949E-01
-5.4925E-05,-1.770989E-01
-5.4924E-05,-1.770989E-01
-5.4924E-05,-1.853070E-01
-5.4924E-05,-1.894111E-01
-5.4924E-05,-1.894111E-01
-5.4924E-05,-1.935151E-01
-5.4924E-05,-1.976192E-01
-5.4924E-05,-2.017232E-01
