Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-1.9941E-04,-8.201064E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-3.500601E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-1.865656E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,-2.307123E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.608600E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,3.447912E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,5.593776E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,7.739640E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,8.965848E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.019206E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.223574E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.427942E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.448378E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.468815E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.479034E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.489252E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.376850E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.264447E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9941E-04,1.131608E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,9.987688E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,8.250560E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,6.513432E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,4.674120E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,2.834808E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,7.583969E-04,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-2.683128E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-3.704968E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-4.726809E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.953017E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.544281E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-4.726809E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-3.398417E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-2.070024E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.252552E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-4.350803E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,7.583969E-04,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,5.867597E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,8.933117E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,2.802077E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-6.394483E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-2.172208E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-3.704968E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.237728E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-8.303249E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-9.836008E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.075566E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.167532E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.167532E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.167532E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-1.024474E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-8.814169E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-8.098880E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-7.383592E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-6.259569E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-2.887496E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9940E-04,-6.394483E-03,4.757636E-01,4.804238E-01,4.602837E-01
